                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6879,                 1.8731,                 1.7426,                0.62272,                0.68321,                0.68236,                0.34435,                 1.5151,                 2.1148,                 1.7447,             0.00066138,             0.00066138,             0.00066138
                      2,                  1.536,                 1.3604,                 1.6424,                0.56688,                0.70611,                0.63102,                0.31664,                 1.5697,                 1.6541,                 1.7531,              0.0012842,              0.0012842,              0.0012842
                      3,                 1.5005,                 1.3064,                 1.6149,                0.25838,                0.80534,                0.24267,                 0.1308,                 1.5173,                 2.0012,                 1.6718,              0.0018631,              0.0018631,              0.0018631
                      4,                 1.4929,                 1.3012,                 1.6085,                0.72987,                0.83532,                0.80899,                0.45933,                 1.3449,                 1.1446,                 1.5786,               0.001802,               0.001802,               0.001802
                      5,                 1.4531,                 1.2352,                 1.5884,                0.57217,                0.75954,                0.62832,                0.32571,                 1.4371,                 1.2801,                 1.7072,               0.001802,               0.001802,               0.001802
                      6,                 1.3923,                 1.1939,                 1.5614,                0.82151,                0.84323,                0.87536,                0.53011,                 1.3073,                0.98056,                 1.5154,               0.001736,               0.001736,               0.001736
                      7,                 1.3663,                 1.1478,                 1.5524,                0.80851,                0.87024,                 0.9162,                0.55875,                 1.2486,                0.97707,                  1.503,                0.00167,                0.00167,                0.00167
                      8,                 1.3144,                 1.1054,                 1.5097,                 0.7785,                0.89313,                0.88672,                0.53168,                 1.2362,                0.89917,                 1.5261,               0.001604,               0.001604,               0.001604
                      9,                 1.2779,                 1.0425,                 1.4776,                0.83296,                0.91358,                0.94666,                0.60879,                  1.197,                0.79297,                 1.4365,               0.001538,               0.001538,               0.001538
                     10,                 1.2937,                 1.0413,                 1.4975,                0.86831,                0.88931,                0.94437,                0.60965,                 1.1792,                0.78055,                 1.4533,               0.001472,               0.001472,               0.001472
                     11,                 1.2815,                 1.0143,                 1.4973,                0.88152,                0.88931,                0.94082,                0.61031,                 1.1736,                0.71901,                 1.4408,               0.001406,               0.001406,               0.001406
                     12,                 1.2281,                0.99165,                 1.4509,                0.83144,                0.94132,                0.93891,                0.60312,                 1.1742,                0.79718,                  1.465,                0.00134,                0.00134,                0.00134
                     13,                 1.1948,                0.95084,                 1.4248,                0.82758,                0.90076,                0.92709,                0.59978,                 1.1026,                0.84524,                 1.4061,               0.001274,               0.001274,               0.001274
                     14,                 1.1725,                0.93735,                 1.4288,                0.86098,                0.92187,                0.94559,                0.66264,                 1.0613,                0.68784,                  1.368,               0.001208,               0.001208,               0.001208
                     15,                 1.1881,                 0.9295,                 1.4225,                0.84068,                0.94275,                 0.9471,                0.65069,                 1.0611,                0.69269,                 1.3578,               0.001142,               0.001142,               0.001142
                     16,                 1.1733,                0.88846,                 1.4216,                0.87282,                0.89057,                 0.9453,                0.65064,                 1.0633,                0.65407,                 1.3865,               0.001076,               0.001076,               0.001076
                     17,                 1.1435,                0.89027,                 1.3833,                0.90212,                0.94978,                0.96656,                0.68215,                 1.0349,                0.61961,                  1.354,                0.00101,                0.00101,                0.00101
                     18,                 1.1159,                 0.8782,                 1.3799,                0.83947,                 0.9542,                0.93031,                0.65137,                 1.0546,                0.64562,                 1.3675,               0.000944,               0.000944,               0.000944
                     19,                 1.1124,                0.85656,                 1.3694,                0.84697,                0.93511,                0.96044,                0.67316,                 1.0451,                 0.6191,                 1.3417,               0.000878,               0.000878,               0.000878
                     20,                 1.1111,                0.85687,                 1.3769,                0.81654,                0.90458,                0.93929,                0.63593,                 1.0895,                0.63748,                 1.4204,               0.000812,               0.000812,               0.000812
                     21,                 1.0164,                0.64006,                  1.339,                0.84819,                 0.8626,                0.91443,                0.60952,                 1.1051,                0.74635,                 1.4605,               0.000746,               0.000746,               0.000746
                     22,                0.97772,                0.60355,                 1.3108,                0.87535,                0.96183,                0.96888,                0.69185,                 1.0508,                0.56493,                 1.3849,                0.00068,                0.00068,                0.00068
                     23,                 0.9435,                0.57691,                 1.2859,                 0.9032,                0.92594,                0.96725,                0.69285,                 1.0152,                0.58104,                  1.344,               0.000614,               0.000614,               0.000614
                     24,                0.92863,                0.55538,                 1.2775,                0.85565,                0.97328,                0.95918,                0.71259,                0.98067,                0.52687,                 1.3074,               0.000548,               0.000548,               0.000548
                     25,                0.90649,                0.54113,                 1.2598,                0.89485,                0.95802,                0.97369,                0.69584,                 1.0587,                0.54195,                 1.3497,               0.000482,               0.000482,               0.000482
                     26,                0.88972,                0.52583,                 1.2505,                0.91404,                0.95038,                0.97931,                0.72126,                 1.0054,                0.51737,                 1.3281,               0.000416,               0.000416,               0.000416
                     27,                0.86345,                0.50563,                 1.2235,                0.91256,                0.95038,                0.97488,                0.69285,                 1.0356,                0.52987,                 1.3592,                0.00035,                0.00035,                0.00035
                     28,                0.85132,                0.50147,                 1.2111,                0.89469,                0.96183,                0.97909,                0.73226,                0.99115,                0.48613,                 1.3132,               0.000284,               0.000284,               0.000284
                     29,                0.82292,                0.49048,                 1.1964,                0.89048,                0.96207,                0.97963,                0.73502,                0.97171,                0.49269,                 1.2938,               0.000218,               0.000218,               0.000218
                     30,                 0.8029,                0.47119,                 1.1728,                0.92186,                0.94554,                0.98133,                0.73296,                0.97869,                0.49317,                 1.3036,               0.000152,               0.000152,               0.000152
