                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 82.652,                      0,                 0.0017,                0.38168,                0.00141,                 0.0004,                  2.975,                 4.1911,                 3.0798,             0.00066138,             0.00066138,             0.00066138
                      2,                      0,                 41.012,                      0,                0.00224,                0.29389,                0.00189,                0.00054,                 3.6352,                 3.9851,                 3.2373,              0.0013149,              0.0013149,              0.0013149
                      3,                      0,                 12.984,                      0,                0.00224,                0.29389,                0.00189,                0.00054,                 3.1193,                 4.6883,                 3.0118,              0.0019552,              0.0019552,              0.0019552
                      4,                      0,                 2.0321,                      0,                0.00224,                0.29389,                0.00189,                0.00054,                 3.6458,                  5.819,                 3.2951,              0.0019406,              0.0019406,              0.0019406
                      5,                      0,                0.17449,                      0,                0.00224,                0.29389,                0.00189,                0.00054,                 3.6171,                 7.2435,                  3.099,              0.0019406,              0.0019406,              0.0019406
                      6,                      0,                 0.0128,                      0,                0.00224,                0.29389,                0.00189,                0.00054,                 3.6362,                 7.7816,                 3.0726,              0.0019208,              0.0019208,              0.0019208
                      7,                      0,                0.00328,                      0,                0.00224,                0.29389,                0.00189,                0.00054,                 3.8119,                 8.0157,                 3.2101,               0.001901,               0.001901,               0.001901
                      8,                      0,                0.00259,                      0,                0.00224,                0.29389,                0.00189,                0.00054,                 3.8921,                  8.065,                 3.2039,              0.0018812,              0.0018812,              0.0018812
                      9,                      0,                0.00145,                      0,                0.00224,                0.29389,                0.00189,                0.00054,                 3.7726,                 8.2863,                 3.1875,              0.0018614,              0.0018614,              0.0018614
                     10,                      0,                0.00079,                      0,                0.00224,                0.29389,                0.00189,                0.00054,                 3.7344,                 8.4007,                  3.164,              0.0018416,              0.0018416,              0.0018416
                     11,                      0,                0.00058,                      0,                0.00224,                0.29389,                0.00189,                0.00054,                 3.7363,                 8.5172,                 3.1711,              0.0018218,              0.0018218,              0.0018218
                     12,                      0,                0.00042,                      0,                0.00224,                0.29389,                0.00189,                0.00054,                 3.7342,                 8.5813,                 3.1691,               0.001802,               0.001802,               0.001802
                     13,                      0,                0.00038,                      0,                0.00224,                0.29389,                0.00189,                0.00054,                 3.7353,                 8.6458,                 3.1543,              0.0017822,              0.0017822,              0.0017822
                     14,                      0,                0.00038,                      0,                0.00224,                0.29389,                0.00189,                0.00054,                 3.7375,                  8.708,                 3.1616,              0.0017624,              0.0017624,              0.0017624
                     15,                      0,                0.00038,                      0,                0.00224,                0.29389,                0.00189,                0.00054,                 3.7355,                 8.8027,                 3.1862,              0.0017426,              0.0017426,              0.0017426
                     16,                      0,                0.00038,                      0,                0.00224,                0.29389,                0.00189,                0.00054,                 3.6545,                 8.7053,                 3.2558,              0.0017228,              0.0017228,              0.0017228
                     17,                      0,                0.00036,                      0,                0.00224,                0.29389,                0.00189,                0.00054,                 3.7014,                 8.8761,                 3.2758,               0.001703,               0.001703,               0.001703
